,tweet_id,timestamp,text,rating_denominator,name,source_web,pet_status,rating_numerator_real,jpg_url,img_num,prob,dog_assessment,favorite_cnt,retweet_cnt
0,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,10,Archie,http://twitter.com/download/iphone,,12,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,0.716012,True,25164,4218
1,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,10,Koda,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,0.957979,True,30796,7441
2,889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,10,,http://twitter.com/download/iphone,puppo,13,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,0.966327,True,48308,10200
3,889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,10,Ted,http://twitter.com/download/iphone,,12,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,0.99165,True,27317,4607
4,889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,10,Stuart,http://twitter.com/download/iphone,puppo,13,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,0.953442,True,15163,2263
5,889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,10,Oliver,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,0.626152,True,25414,5523
6,888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,10,Jim,http://twitter.com/download/iphone,,12,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,0.714719,True,29229,4569
7,888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,10,Ralphus,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,0.700377,True,20029,3652
8,888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,10,Gerald,http://twitter.com/download/iphone,,12,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,0.995026,True,21879,3554
9,887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,10,Jeffrey,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,0.821664,True,30342,5469
10,887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,10,Canela,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,0.809197,True,69468,18490
11,887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,10,,http://twitter.com/download/iphone,,12,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,0.733942,True,30695,6047
12,886983233522544640,2017-07-17 16:17:36,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,10,Maya,http://twitter.com/download/iphone,,13,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,0.793469,True,35363,7874
